iter	Passed	Remaining
716	50955	20111
717	51022	20039
718	51089	19966
719	51155	19893
720	51224	19822
721	51295	19751
722	51363	19678
723	51428	19605
724	51494	19532
725	51559	19459
726	51626	19386
727	51697	19315
728	51766	19243
729	51832	19171
730	51898	19098
731	51962	19024
732	52035	18954
733	52112	18885
734	52186	18815
735	52263	18746
736	52335	18676
737	52413	18607
738	52489	18538
739	52562	18467
740	52629	18395
741	52700	18324
742	52770	18252
743	52840	18181
744	52908	18109
745	52975	18037
746	53043	17965
747	53111	17893
748	53178	17820
749	53243	17747
750	53310	17675
751	53379	17603
752	53448	17532
753	53513	17459
754	53580	17387
755	53646	17314
756	53713	17242
757	53786	17171
758	53857	17101
759	53925	17029
760	53990	16956
761	54056	16883
762	54122	16811
763	54189	16739
764	54257	16667
765	54327	16596
766	54391	16523
767	54456	16450
768	54528	16379
769	54594	16307
770	54662	16235
771	54739	16166
772	54807	16094
773	54871	16021
774	54940	15950
775	55010	15879
776	55078	15807
777	55145	15735
778	55211	15663
779	55282	15592
780	55350	15520
781	55417	15448
782	55485	15377
783	55552	15305
784	55616	15232
785	55682	15160
786	55752	15089
787	55823	15018
788	55888	14946
789	55956	14874
790	56021	14802
791	56089	14730
792	56156	14658
793	56221	14586
794	56287	14514
795	56351	14441
796	56415	14369
797	56481	14297
798	56549	14225
799	56614	14153
800	56683	14082
801	56754	14011
802	56826	13941
803	56907	13872
804	56974	13801
805	57047	13731
806	57121	13661
807	57193	13590
808	57262	13519
809	57337	13449
810	57409	13379
811	57474	13306
812	57542	13235
813	57608	13163
814	57671	13091
815	57740	13019
816	57808	12948
817	57878	12877
818	57962	12809
819	58030	12738
820	58100	12667
821	58168	12596
822	58234	12524
823	58302	12452
824	58368	12381
825	58433	12309
826	58503	12238
827	58570	12166
828	58634	12094
829	58698	12022
830	58763	11950
831	58829	11879
832	58900	11808
833	58975	11738
834	59044	11667
835	59110	11595
836	59184	11525
837	59258	11455
838	59330	11385
839	59398	11314
840	59463	11242
841	59532	11171
842	59598	11099
843	59662	11027
844	59731	10956
845	59799	10885
846	59865	10813
847	59934	10742
848	59999	10671
849	60066	10599
850	60131	10528
851	60199	10457
852	60269	10386
853	60339	10315
854	60407	10244
855	60474	10173
856	60541	10102
857	60608	10030
858	60675	9959
859	60741	9888
860	60807	9816
861	60873	9745
862	60940	9674
863	61009	9603
864	61077	9532
865	61143	9460
866	61208	9389
867	61274	9318
868	61340	9247
869	61415	9177
870	61486	9106
871	61551	9035
872	61617	8963
873	61682	8892
874	61751	8821
875	61819	8750
876	61884	8679
877	61951	8608
878	62020	8537
879	62088	8466
880	62153	8395
881	62221	8324
882	62293	8254
883	62357	8182
884	62426	8111
885	62494	8041
886	62564	7970
887	62630	7899
888	62696	7828
889	62762	7757
890	62832	7686
891	62901	7615
892	62967	7544
893	63038	7474
894	63103	7403
895	63171	7332
896	63237	7261
897	63306	7190
898	63373	7119
899	63441	7049
900	63514	6978
901	63586	6908
902	63652	6837
903	63718	6766
904	63785	6695
905	63854	6625
906	63921	6554
907	63989	6483
908	64062	6413
909	64129	6342
910	64196	6271
911	64263	6200
912	64330	6130
913	64396	6059
914	64464	5988
915	64532	5917
916	64601	5847
917	64671	5776
918	64739	5706
919	64805	5635
920	64877	5564
921	64946	5494
922	65012	5423
923	65082	5353
924	65147	5282
925	65229	5212
926	65300	5142
927	65368	5071
928	65433	5000
929	65504	4930
930	65571	4859
931	65636	4788
932	65703	4718
933	65776	4648
934	65842	4577
935	65907	4506
936	65977	4436
937	66042	4365
938	66114	4295
939	66188	4224
940	66252	4153
941	66318	4083
942	66384	4012
943	66451	3942
944	66521	3871
945	66591	3801
946	66655	3730
947	66722	3659
948	66790	3589
949	66857	3518
950	66923	3448
951	66988	3377
952	67054	3306
953	67124	3236
954	67197	3166
955	67263	3095
956	67329	3025
957	67394	2954
958	67459	2884
959	67529	2813
960	67596	2743
961	67660	2672
962	67726	2602
963	67798	2531
964	67865	2461
965	67931	2390
966	67999	2320
967	68066	2250
968	68133	2179
969	68203	2109
970	68272	2039
971	68337	1968
972	68405	1898
973	68473	1827
974	68540	1757
975	68604	1687
976	68674	1616
977	68739	1546
978	68805	1475
979	68870	1405
980	68936	1335
981	69002	1264
982	69070	1194
983	69137	1124
984	69206	1053
985	69277	983
